ncbi,uniprot,protein.protein_id,protein.name,domain,domains.domains_id,length,genus,gene,gene_begin,gene_end,cluster,species,superkingdom,kingdom,phylum,score,nbdomain
,A0A1Q8UFQ0,49284,Ricin B-type lectin domain-containing protein,PropLec7B_PVL,5975,609,Streptomyces,,0,0,A0A1Q5I720,Streptomyces sp MNU77,Bacteria,None,Actinobacteria,0.543,7
OLS36434,A0A1Q9PQ41,3035,Carbohydrate-binding protein,PropLec7A_PLL,5982,301,Bacillus,MSLQ01000007.1,92772,93677,A0A1Q9PQ41,Alkalihalobacillus pseudofirmus,Bacteria,None,Firmicutes,0.386,6
,A0A1Q9SH14,16560,Uncharacterized protein,PropLec7A_PLL,5983,317,Kocuria,,0,0,A0A1Q9SH14,Kocuria sp CNJ77,Bacteria,None,Actinobacteria,0.4,5
,A0A1Q9SRV3,31300,Uncharacterized protein,PropLec7B_PVL,5984,309,Pseudonocardia,,0,0,,Pseudonocardia sp CNS139,Bacteria,None,Actinobacteria,0.181,4
OLZ51117,A0A1R0KT68,3517,Peptidase C51 domain-containing protein,PropLec7B_PVL,5987,448,Amycolatopsis,MQUQ01000009.1,192706,194052,,Amycolatopsis coloradensis,Bacteria,None,Actinobacteria,0.352,5
,A0A1R0LG84,48621,Ricin B-type lectin domain-containing protein,PropLec7B_PVL,5997,615,Streptomyces,,0,0,A0A1R0LG84,Streptomyces sp IMTB 251,Bacteria,None,Actinobacteria,0.53,7
OMI38275,A0A1R1SJ10,50738,Beta-propeller repeat TECPR,PropLec6B_tectonin,6016,208,Streptomyces,ASQP01000242.1,30138,30764,A0A1R1SJ10,Streptomyces sparsogenes DSM 4356,Bacteria,None,Actinobacteria,0.629,6
,A0A1R1WNS1,50650,Uncharacterized protein,PropLec7B_PVL,6019,742,Streptomyces,,0,0,,Streptomyces sp M113,Bacteria,None,Actinobacteria,0.34,4
OMJ91139,A0A1R2CQ58,35156,Uncharacterized protein,PropLec7B_PVL,6025,364,Stentor,MPUH01000088.1,94001,95095,A0A1R2CQ58,Stentor coeruleus,Eukaryota,None,Ciliophora,0.349,6
WP_087145460,A0A1R4GZ17,10797,Uncharacterized protein,PropLec7A_PLL,6030,344,Crenothrix,NZ_FUKJ01000003.1,1982,3016,A0A1R4GZ17,Crenothrix polyspora,Bacteria,None,Proteobacteria,0.437,4
WP_087143842,A0A1R4HB93,10798,Uncharacterized protein,PropLec6B_tectonin,6032,226,Crenothrix,NZ_FUKI01000119.1,102526,103206,A0A1R4HB93,Crenothrix polyspora,Bacteria,None,Proteobacteria,0.245,3
,A0A1R4I0T7,18556,"Glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein (TC 3.A.1.1.3)",PropLec7B_PVL,6033,1157,Leucobacter,,0,0,A0A1R4I0T7,Leucobacter sp 71,Bacteria,None,Actinobacteria,0.424,8
OIJ85447,A0A1S2NVI9,37505,Uncharacterized protein,PropLec7B_PVL,6046,588,Streptomyces,MLYP01000092.1,71361,73127,,Streptomyces colonosanans,Bacteria,None,Actinobacteria,0.25,4
,A0A1S3H8I1,18636,uncharacterized protein LOC106152422,PropLec7B_PVL,6077,1993,Lingula,,0,0,A0A1S3H8I1,Lingula unguis,Eukaryota,Metazoa,Brachiopoda,0.557,7
,A0A1S3I3N5,18631,uncharacterized protein LOC106160753 isoform X1,PropLec7A_PLL,6083,653,Lingula,,0,0,A0A1S3I3N5,Lingula unguis,Eukaryota,Metazoa,Brachiopoda,0.233,3
,A0A1S3I3R5,18628,uncharacterized protein LOC106160753 isoform X2,PropLec7A_PLL,6084,635,Lingula,,0,0,A0A1S3I3N5,Lingula unguis,Eukaryota,Metazoa,Brachiopoda,0.3,3
XP_014009324,A0A1S3N1G9,33611,fish-egg lectin-like,PropLec6B_tectonin,6095,255,Salmo,NC_027316.1,55333703,55335559,B5X7U2,Salmo salar,Eukaryota,Metazoa,Chordata,0.386,4
XP_014009328,A0A1S3N1H0,33610,LOW QUALITY PROTEIN: fish-egg lectin-like,PropLec6B_tectonin,6096,178,Salmo,NC_027316.1,55329830,55331322,A0A1S3N1H0,Salmo salar,Eukaryota,Metazoa,Chordata,0.39,3
XP_014009327,A0A1S3N1P5,33609,fish-egg lectin-like,PropLec6B_tectonin,6097,255,Salmo,NC_027316.1,55277242,55278922,A0A1S3N1P5,Salmo salar,Eukaryota,Metazoa,Chordata,0.412,4
XP_014037583,A0A1S3QC73,33613,fish-egg lectin-like,PropLec6B_tectonin,6103,255,Salmo,NW_012343004.1,6510,10000,A0A1S3RK19,Salmo salar,Eukaryota,Metazoa,Chordata,0.38,4
XP_014040612,A0A1S3QLI1,33614,fish-egg lectin-like,PropLec6B_tectonin,6105,213,Salmo,NW_012350917.1,5,1633,B5X7U2,Salmo salar,Eukaryota,Metazoa,Chordata,0.393,4
XP_014044771,A0A1S3QXZ9,33606,fish-egg lectin-like,PropLec6B_tectonin,6106,121,Salmo,NW_012374777.1,55,509,A0A1S3QXZ9,Salmo salar,Eukaryota,Metazoa,Chordata,0.359,1
XP_014052154,A0A1S3RK19,33612,fish-egg lectin-like,PropLec6B_tectonin,6107,255,Salmo,NC_027303.1,40443321,40445045,A0A1S3RK19,Salmo salar,Eukaryota,Metazoa,Chordata,0.366,4
WP_078644356,A0A1S6RT92,38825,Alpha-galactosidase,PropLec7A_PLL,6128,709,Streptomyces,NZ_CP018627.1,8958278,8960407,G2PCE7,Streptomyces hygroscopicus,Bacteria,None,Actinobacteria,0.331,3
WP_078646231,A0A1S6RXF9,38821,Uncharacterized protein,PropLec7A_PLL,6133,343,Streptomyces,NZ_CP018627.1,10900745,10901776,A0A060ZCU6,Streptomyces hygroscopicus,Bacteria,None,Actinobacteria,0.35,6
WP_078646987,A0A1S6S0D7,38800,Uncharacterized protein,PropLec6B_tectonin,6136,236,Streptomyces,NZ_CP018627.1,11944072,11944782,A0A291T6N2,Streptomyces hygroscopicus,Bacteria,None,Actinobacteria,0.595,6
,A0A1S8FDB4,30583,Uncharacterized protein,PropLec7B_PVL,6139,931,Polaromonas,,0,0,A0A1S8FDB4,Polaromonas sp A23,Bacteria,None,Proteobacteria,0.238,7
,A0A1S8FDL2,30582,Uncharacterized protein,PropLec7B_PVL,6140,895,Polaromonas,,0,0,,Polaromonas sp A23,Bacteria,None,Proteobacteria,0.279,7
OOL91431,A0A1S8LHI4,9881,Uncharacterized protein,PropLec7A_PLL,6141,372,Clostridium,LZYT01000005.1,11170,12288,A0A1S8LHU6,Clostridium felsineum DSM 794,Bacteria,None,Firmicutes,0.628,7
OOL91385,A0A1S8LHU6,9909,Uncharacterized protein,PropLec7A_PLL,6142,372,Clostridium,LZYV01000038.1,78804,79922,A0A1S8LHU6,Clostridium roseum,Bacteria,None,Firmicutes,0.628,7
WP_077866967,A0A1S8MTD4,9911,Uncharacterized protein,PropLec7A_PLL,6143,430,Clostridium,NZ_LZYZ01000008.1,231695,232987,U5MTS1,Clostridium saccharobutylicum,Bacteria,None,Firmicutes,0.549,6
WP_077856136,A0A1S8P747,9691,Uncharacterized protein,PropLec7A_PLL,6144,398,Clostridium,NZ_JABTDW010000001.1,2606508,2607704,A0A1S8P747,Clostridium beijerinckii,Bacteria,None,Firmicutes,0.481,5
OOM52393,A0A1S8RGZ7,9690,Uncharacterized protein,PropLec7A_PLL,6145,453,Clostridium,LZZI01000210.1,141,1502,A6LYJ9,Clostridium beijerinckii,Bacteria,None,Firmicutes,0.49,6
,A0A1S8XSY8,24278,LamGL domain-containing protein,PropLec7B_PVL,6160,1479,Micromonospora,,0,0,,Micromonospora sp Rc5,Bacteria,None,Actinobacteria,0.159,4
,A0A1S8XVF5,24294,Uncharacterized protein,PropLec7A_PLL,6164,313,Micromonospora,,0,0,A0A0D0V643,Micromonospora sp Rc5,Bacteria,None,Actinobacteria,0.25,5
,A0A1S8Y0X8,24291,Uncharacterized protein,PropLec7B_PVL,6177,379,Micromonospora,,0,0,A0A1S8Y0X8,Micromonospora sp Rc5,Bacteria,None,Actinobacteria,0.134,2
,A0A1S8ZZ00,12978,Collagen-like protein,PropLec6B_tectonin,6183,1260,Flavobacterium,,0,0,,Flavobacterium sp KBS721,Bacteria,None,Bacteroidetes,0.208,12
XP_001818739,A0A1S9DJZ1,5249,Fucose-specific lectin,PropLec6A_RSL_AAL,6185,311,Aspergillus,NC_036436.1,432676,433827,Q2UNX8,Aspergillus oryzae,Eukaryota,Fungi,Ascomycota,0.592,6
WP_078024138,A0A1S9IGF3,10016,Carbohydrate-binding protein,PropLec7A_PLL,6186,326,Clostridium,NZ_JADPGM010000010.1,26866,27846,A0A1S9IGF3,Clostridium tepidum,Bacteria,None,Firmicutes,0.578,7
WP_078023570,A0A1S9IH40,10017,Carbohydrate-binding protein,PropLec7A_PLL,6187,331,Clostridium,NZ_JADPGM010000002.1,76889,77884,A0A0M1IZK8,Clostridium tepidum,Bacteria,None,Firmicutes,0.474,6
,A0A1S9MZV4,9688,Sialidase,PropLec7A_PLL,6188,443,Clostridium,,0,0,A6LYJ9,Clostridium beijerinckii,Bacteria,None,Firmicutes,0.5,6
WP_078632599,A0A1S9P3J1,36472,Uncharacterized protein,PropLec6B_tectonin,6193,239,Streptomyces,NZ_CM007717.1,1123496,1124215,A0A1S9P3J1,Streptomyces antibioticus,Bacteria,None,Actinobacteria,0.543,6
OPB41789,A0A1T3CL20,52880,Fucose-specific lectin,PropLec6A_RSL_AAL,6197,291,Trichoderma,LVVK01000014.1,328546,329591,A0A1T3CL20,Trichoderma guizhouense,Eukaryota,Fungi,Ascomycota,0.398,6
WP_078982818,A0A1T3NIN5,12330,Uncharacterized protein,PropLec7A_PLL,6198,331,Streptomyces,NZ_MWQN01000006.1,144906,145901,A0A1T3NIN5,Embleya scabrispora,Bacteria,None,Actinobacteria,0.287,3
WP_078981484,A0A1T3NN83,12329,Uncharacterized protein,PropLec7A_PLL,6200,628,Streptomyces,NZ_MWQN01000003.1,1071019,1072905,A0A1T3NN83,Embleya scabrispora,Bacteria,None,Actinobacteria,0.258,4
OPC78883,A0A1T3NPP9,12332,Uncharacterized protein,PropLec7C_BPL_CVL,6201,398,Streptomyces,MWQN01000002.1,489071,490267,,Embleya scabrispora,Bacteria,None,Actinobacteria,0.3,7
,A0A1T4PZE5,7303,Uncharacterized protein,PropLec7A_PLL,6202,296,Carboxydocella,,0,0,A0A2R4N2K1,Carboxydocella sporoproducens DSM 16521,Bacteria,None,Firmicutes,0.291,4
,A0A1T4WM24,9982,Uncharacterized protein,PropLec7A_PLL,6205,448,Clostridium,,0,0,A0A1T4WM24,Clostridium sp USBA 49,Bacteria,None,Firmicutes,0.542,7
WP_079472541,A0A1T5P9H8,9003,Dual-action HEIGH metallo-peptidase,PropLec7A_PLL,6214,545,Chitinophaga,NZ_FUZZ01000005.1,60219,61856,A0A1T5P9H8,Chitinophaga ginsengisegetis,Bacteria,None,Bacteroidetes,0.403,5
,A0A1U6HWX8,4959,Putative peptidoglycan binding domain-containing protein,PropLec7A_PLL,6215,685,Arthrobacter,,0,0,A0A1U6HWX8,Arthrobacter sp P2b,Bacteria,None,Actinobacteria,0.715,7
,A0A1U6IZA2,5631,Uncharacterized protein,PropLec7A_PLL,6216,356,Bacillus,,0,0,A0A1U6IZA2,Bacillus sp V88,Bacteria,None,Firmicutes,0.41,6
WP_076343675,A0A1U7CKP4,28495,TPR_REGION domain-containing protein,PropLec7B_PVL,6217,1182,Paludisphaera,NZ_CP019082.1,1197862,1201410,,Paludisphaera borealis,Bacteria,None,Planctomycetes,0.244,3
WP_073641002,A0A1U7IGD3,27229,Uncharacterized protein,PropLec7B_PVL,6219,1265,Nostoc,JACJRQ010000009.1,179281,183078,A0A1U7IGD3,Nostoc calcicola FACHB389,Bacteria,None,Cyanobacteria,0.576,6
WP_075905511,A0A1U7NAK4,25009,Serine protease,PropLec7A_PLL,6222,805,Moorea,NZ_MKZS01000001.1,8184575,8186992,A0A1D8U4L5,Moorea bouillonii PNG,Bacteria,None,Cyanobacteria,0.391,5
5MB4_A,A0A1U7Q1Z0,31057,GlcNAc specific lectin,PropLec7B_PVL,6226,401,Drosophila Quelet 1886,,0,0,A0A1U7Q1Z0,Psathyrella,Eukaryota,Fungi,Basidiomycota,0.827,8
AQU70669,A0A1U9R2V3,39770,Alpha-galactosidase,PropLec7A_PLL,6259,706,Streptomyces,CP018047.1,1140721,1142841,A0A1U9R2V3,Streptomyces niveus,Bacteria,None,Actinobacteria,0.368,4
WP_079921069,A0A1U9Z9N8,19241,Poly(Beta-D-mannuronate) C5 epimerase 7,PropLec7B_PVL,6264,444,Martelella,NZ_CP020333.1,20373,21707,A0A1U9Z9N8,Martelella mediterranea DSM 17316,Bacteria,None,Proteobacteria,0.256,6
,A0A1U9ZWZ3,27063,Uncharacterized protein,PropLec7B_PVL,6280,421,Nonomuraea,,0,0,A0A1U9ZWZ3,Nonomuraea sp ATCC 5576,Bacteria,None,Actinobacteria,0.307,4
WP_083102979,A0A1V0TKN8,38221,Ricin B-type lectin domain-containing protein,PropLec7B_PVL,6299,615,Streptomyces,NZ_CP020569.1,845828,847675,A0A1B2GMX3,Streptomyces gilvosporeus,Bacteria,None,Actinobacteria,0.508,7
,A0A1V0UCU1,51318,Ricin B-type lectin domain-containing protein,PropLec7B_PVL,6300,610,Streptomyces,,0,0,A0A1V0UCU1,Streptomyces violaceoruber,Bacteria,None,Actinobacteria,0.532,7
,A0A1V0VWU6,15821,Alpha-galactosidase,PropLec7A_PLL,6306,809,Kitasatospora,,0,0,A0A2N3UV61,Kitasatospora aureofaciens,Bacteria,None,Actinobacteria,0.363,5
ARF82503,A0A1V0VYV3,15825,Uncharacterized protein,PropLec7A_PLL,6308,632,Kitasatospora,CP020567.1,6801011,6802909,,Kitasatospora aureofaciens,Bacteria,None,Actinobacteria,0.232,6
,A0A1V1SRW8,54631,Fucose-specific lectin,PropLec6A_RSL_AAL,6309,370,None,,0,0,A0A1V1SRW8,fungal sp No14919,Eukaryota,Fungi,None,0.379,6
,A0A1V1T380,54629,Fucose-specific lectin,PropLec6A_RSL_AAL,6311,853,None,,0,0,A0A1V1T380,fungal sp No14919,Eukaryota,Fungi,None,0.385,5
,A0A1V1TJA8,54630,Uncharacterized protein,PropLec6A_RSL_AAL,6312,522,None,,0,0,,fungal sp No14919,Eukaryota,Fungi,None,0.273,1
,A0A1V1TRL5,54633,Uncharacterized protein,PropLec6A_RSL_AAL,6313,397,None,,0,0,,fungal sp No14919,Eukaryota,Fungi,None,0.156,2
,A0A1V2DJU0,6596,Uncharacterized protein,PropLec7C_BPL_CVL,6316,357,Burkholderia,,0,0,,Burkholderia pseudomallei,Bacteria,None,Proteobacteria,0.736,7
,A0A1V2IEY8,13089,Uncharacterized protein,PropLec7A_PLL,6317,345,Frankia,,0,0,F8B3P6,Frankia sp BMG53,Bacteria,None,Actinobacteria,0.391,7
,A0A1V2IVV3,13086,Uncharacterized protein,PropLec7A_PLL,6318,745,Frankia,,0,0,A0A1V2IVV3,Frankia sp BMG53,Bacteria,None,Actinobacteria,0.565,6
,A0A1V2KUS8,13076,Uncharacterized protein,PropLec7B_PVL,6319,454,Frankia,,0,0,,Frankia sp CcI49,Bacteria,None,Actinobacteria,0.258,4
,A0A1V2PZG6,2735,Glyco_hydro_32N domain-containing protein,PropLec7A_PLL,6346,639,Actinosynnema,,0,0,A0A1V2PZG6,Actinosynnema sp ALI144,Bacteria,None,Actinobacteria,0.429,6
,A0A1V2PZI9,2741,Peptidase M23 (Fragment),PropLec7A_PLL,6347,284,Actinosynnema,,0,0,A0A1V2PZI9,Actinosynnema sp ALI144,Bacteria,None,Actinobacteria,0.455,6
,A0A1V2QAJ9,33186,Peptidase_M23 domain-containing protein,PropLec7B_PVL,6350,424,Saccharothrix,,0,0,,Saccharothrix sp ALI22I,Bacteria,None,Actinobacteria,0.274,5
,A0A1V2QAY8,2740,Uncharacterized protein,PropLec7A_PLL,6351,533,Actinosynnema,,0,0,A0A1V2QAY8,Actinosynnema sp ALI144,Bacteria,None,Actinobacteria,0.4,7
,A0A1V2QB49,33185,Uncharacterized protein,PropLec7A_PLL,6352,738,Saccharothrix,,0,0,A0A1V2QB49,Saccharothrix sp ALI22I,Bacteria,None,Actinobacteria,0.351,3
,A0A1V2QB59,2746,Uncharacterized protein,PropLec7A_PLL,6353,539,Actinosynnema,,0,0,A0A1V2QB59,Actinosynnema sp ALI144,Bacteria,None,Actinobacteria,0.383,7
,A0A1V2QFV9,2734,Uncharacterized protein,PropLec7A_PLL,6357,341,Actinosynnema,,0,0,A0A0N9IJT7,Actinosynnema sp ALI144,Bacteria,None,Actinobacteria,0.436,7
,A0A1V2QHK0,33190,Uncharacterized protein,PropLec7A_PLL,6359,275,Saccharothrix,,0,0,A0A1V2QHK0,Saccharothrix sp ALI22I,Bacteria,None,Actinobacteria,0.315,3
,A0A1V2QP28,33198,Uncharacterized protein,PropLec7A_PLL,6361,160,Saccharothrix,,0,0,A0A1V2QP28,Saccharothrix sp ALI22I,Bacteria,None,Actinobacteria,0.165,4
WP_046084411,A0A1V4D0T3,36520,Alpha-galactosidase,PropLec7A_PLL,6406,737,Streptomyces,NZ_LAKD02000058.1,28085,30298,A0A014L594,Streptomyces antioxidans,Bacteria,None,Actinobacteria,0.323,3
WP_079343816,A0A1V4D899,36517,Uncharacterized protein,PropLec7A_PLL,6407,343,Streptomyces,NZ_LAKD02000027.1,266487,267518,A0A060ZCU6,Streptomyces antioxidans,Bacteria,None,Actinobacteria,0.385,6
,A0A1V4EDP9,50294,Uncharacterized protein,PropLec7A_PLL,6440,346,Streptomyces,,0,0,A0A1V4EDP9,Streptomyces sp GKU 895,Bacteria,None,Actinobacteria,0.527,4
,A0A1V4EKI5,20780,Uncharacterized protein,PropLec7A_PLL,6445,198,Microbispora,,0,0,A0A1V4EKI5,Microbispora sp GKU 823,Bacteria,None,Actinobacteria,0.363,4
WP_079439493,A0A1V4IRX2,9868,Sialidase,PropLec7A_PLL,6457,430,Clostridium,NZ_MZGT01000022.1,29939,31231,A0A1V4IRX2,Clostridium chromiireducens,Bacteria,None,Firmicutes,0.529,6
,A0A1V4QHQ8,11797,Uncharacterized protein (Fragment),PropLec7B_PVL,6466,213,Desulfobacca,,0,0,,Desulfobacca sp 448414,Bacteria,None,Proteobacteria,0.363,1
,A0A1V4VAI9,19729,Peptidase S1 domain-containing protein,PropLec7C_BPL_CVL,6467,965,Methanothrix,,0,0,,Methanosaeta sp PtaBBin87,Archaea,None,Euryarchaeota,0.227,6
,A0A1V5AU00,19733,Uncharacterized protein,PropLec7A_PLL,6468,817,Methanothrix,,0,0,A0A1V5AU00,Methanosaeta sp PtaU1Bin112,Archaea,None,Euryarchaeota,0.321,7
,A0A1V5B2W8,19730,Uncharacterized protein,PropLec7A_PLL,6469,674,Methanothrix,,0,0,A0A1V5B2W8,Methanosaeta sp PtaU1Bin112,Archaea,None,Euryarchaeota,0.29,6
,A0A1V5B457,19732,Beta_helix domain-containing protein,PropLec7A_PLL,6470,802,Methanothrix,,0,0,A0A1V5B457,Methanosaeta sp PtaU1Bin112,Archaea,None,Euryarchaeota,0.236,6
,A0A1V5B8L3,19731,Uncharacterized protein,PropLec7A_PLL,6471,1479,Methanothrix,,0,0,A0A1V5B8L3,Methanosaeta sp PtaU1Bin112,Archaea,None,Euryarchaeota,0.34,6
OPZ22938,A0A1V5GTB8,54547,FG-GAP repeat protein,PropLec7B_PVL,6474,825,None,MVYZ01000020.1,3747,6224,A0A1V5GTB8,candidate division BRC1 bacterium ADurbBinA364,Bacteria,None,Candidatus Sumerlaeota,0.368,5
OPZ92375,A0A1V5MGW6,12841,Uncharacterized protein,PropLec7A_PLL,6476,158,None,MWAJ01000177.1,5011,5487,A0A1V5MGW6,Firmicutes bacterium ADurbBin419,Bacteria,None,Firmicutes,0.471,3
OQD52018,A0A1V6MI40,40109,Metallophosphoesterase,PropLec7A_PLL,6481,826,Streptomyces,MPOH02000023.1,86440,88920,A0A1V6MI40,Streptomyces phaeoluteigriseus,Bacteria,None,Actinobacteria,0.409,4
OQD56749,A0A1V6MWD4,40110,Uncharacterized protein,PropLec6B_tectonin,6485,84,Streptomyces,MPOH02000008.1,27069,27323,A0A1V6MWD4,Streptomyces phaeoluteigriseus,Bacteria,None,Actinobacteria,0.14,2
OQD57553,A0A1V6MZ02,40114,Uncharacterized protein,PropLec7A_PLL,6491,550,Streptomyces,MPOH02000003.1,61541,63193,A0A1V6MZ02,Streptomyces phaeoluteigriseus,Bacteria,None,Actinobacteria,0.332,3
OQD60679,A0A1V6N7M4,29041,Fucose-specific lectin,PropLec6A_RSL_AAL,6493,143,Penicillium,MDYM01000021.1,330030,330578,A0A124GTK1,Penicillium polonicum,Eukaryota,Fungi,Ascomycota,0.261,3
OQD60683,A0A1V6N7V4,29040,Fucose-specific lectin,PropLec6A_RSL_AAL,6494,151,Penicillium,MDYM01000021.1,330666,331176,A0A124GTL0,Penicillium polonicum,Eukaryota,Fungi,Ascomycota,0.419,3
OQD86606,A0A1V6QCL3,29025,Fucose-specific lectin,PropLec6A_RSL_AAL,6495,261,Penicillium,MDYN01000007.1,268118,269193,A0A1V6QCL3,Penicillium antarcticum,Eukaryota,Fungi,Ascomycota,0.248,6
OQD95424,A0A1V6R1T3,29046,Fucose-specific lectin,PropLec6A_RSL_AAL,6496,202,Penicillium,MDYO01000020.1,142116,142825,A0A1V6R1T3,Penicillium solitum,Eukaryota,Fungi,Ascomycota,0.247,4
OQE17134,A0A1V6STT2,29031,Uncharacterized protein,PropLec7A_PLL,6497,256,Penicillium,MLQL01000025.1,204303,205126,A0A1V6STT2,Penicillium flavigenum,Eukaryota,Fungi,Ascomycota,0.249,3
OQE32704,A0A1V6U2V1,29032,Fucose-specific lectin,PropLec6A_RSL_AAL,6498,306,Penicillium,MLQL01000001.1,321809,322947,B6HN96,Penicillium flavigenum,Eukaryota,Fungi,Ascomycota,0.38,6
OQE85843,A0A1V6YEU9,29037,Fucose-specific lectin,PropLec6A_RSL_AAL,6499,286,Penicillium,MOOB01000023.1,105493,106641,A0A1V6YEU9,Penicillium nalgiovense,Eukaryota,Fungi,Ascomycota,0.344,6
,A0A1V8UNE1,31614,Uncharacterized protein,PropLec7A_PLL,6500,323,Rachicladosporium,,0,0,A0A1V8UNE1,Rachicladosporium sp CCFEE 518,Eukaryota,Fungi,Ascomycota,0.286,4
OQP68443,A0A1V9GCV1,26075,Peptidase_S8 domain-containing protein,PropLec7A_PLL,6512,865,Niastella,LWBP01000001.1,321239,323836,A0A1V9GCV1,Niastella populi,Bacteria,None,Bacteroidetes,0.331,7
WP_058008606,A0A1V9I279,10002,Uncharacterized protein,PropLec7A_PLL,6513,336,Clostridium,NZ_LFVV01000016.1,83295,84305,B1KUF1,Clostridium sporogenes,Bacteria,None,Firmicutes,0.509,6
,A0A1V9I8H8,10000,Carbohydrate-binding protein,PropLec7A_PLL,6514,336,Clostridium,,0,0,A0A2X3CLZ8,Clostridium sporogenes,Bacteria,None,Firmicutes,0.51,5
,A0A1V9IP39,9996,Carbohydrate-binding protein,PropLec7A_PLL,6515,348,Clostridium,,0,0,A0A0D1BPT2,Clostridium sporogenes,Bacteria,None,Firmicutes,0.547,6
WP_058010241,A0A1V9IPS9,10001,Uncharacterized protein,PropLec7A_PLL,6516,331,Clostridium,NZ_LFVV01000047.1,14551,15546,C1FM22,Clostridium sporogenes,Bacteria,None,Firmicutes,0.596,6
WP_084443094,A0A1W1UF11,15169,FG-GAP repeat protein,PropLec7B_PVL,6546,1384,Hymenobacter,NZ_FWWW01000010.1,4178,8332,,Hymenobacter roseosalivarius DSM 11622,Bacteria,None,Bacteroidetes,0.322,6
WP_084115883,A0A1W1XJQ5,9678,Uncharacterized protein,PropLec7A_PLL,6551,321,Clostridium,NZ_FWXH01000006.1,159068,160033,A0A1W1XJQ5,Clostridium acidisoli DSM 12555,Bacteria,None,Firmicutes,0.623,6
SMD03185,A0A1W2E054,17843,Tachylectin,PropLec7A_PLL,6570,658,Lentzea,FWYC01000008.1,252724,254700,A0A1W2E054,Lentzea albidocapillata,Bacteria,None,Actinobacteria,0.285,2
WP_084401614,A0A1W2EMW6,17854,Tachylectin,PropLec7A_PLL,6574,687,Lentzea,NZ_FWYC01000010.1,42888,44951,A0A1W2EMW6,Lentzea albidocapillata,Bacteria,None,Actinobacteria,0.335,4
WP_030481732,A0A1W2EPJ9,17839,Tachylectin,PropLec7A_PLL,6575,635,Lentzea,NZ_FWYC01000010.1,45057,46964,A0A1W2EPJ9,Lentzea albidocapillata,Bacteria,None,Actinobacteria,0.218,3
SMD11826,A0A1W2ERG4,17849,Uncharacterized protein,PropLec7A_PLL,6576,485,Lentzea,FWYC01000010.1,164067,165524,A0A1W2ERG4,Lentzea albidocapillata,Bacteria,None,Actinobacteria,0.268,4
,A0A1W2F8S4,15636,Uncharacterized protein (Fragment),PropLec7A_PLL,6579,205,Kibdelosporangium,,0,0,,Kibdelosporangium aridum,Bacteria,None,Actinobacteria,0.223,3
SMD21655,A0A1W2FHY8,15641,Alpha-galactosidase,PropLec7A_PLL,6580,700,Kibdelosporangium,FWXV01000007.1,114258,116360,A0A1W2FHY8,Kibdelosporangium aridum,Bacteria,None,Actinobacteria,0.365,3
ARI78511,A0A1W5ZZ45,14280,Uncharacterized protein,PropLec7A_PLL,6601,353,Halobacillus,CP020772.1,3469861,3470922,A0A1W5ZZ45,Halobacillus mangrovi,Bacteria,None,Firmicutes,0.387,6
,A0A1W9WGM3,5851,Excalibur domain-containing protein,PropLec7A_PLL,6616,681,Beggiatoa,,0,0,A0A1W9WGM3,Beggiatoa sp 457284,Bacteria,None,Proteobacteria,0.501,7
WP_085040785,A0A1X1PET6,6623,Fucose-binding lectin protein,PropLec6A_RSL_AAL,6633,87,Burkholderia,NZ_CADIKG010000003.1,257051,257314,Q0B4G1,Burkholderia puraquae,Bacteria,None,Proteobacteria,0.447,2
SMG14289,A0A1X7IIM0,32214,Repeat domain-containing protein,PropLec7B_PVL,6702,780,Rhodococcus,FXAV01000001.1,810140,812482,A0A1X7IIM0,Rhodococcus rhodochrous J3,Bacteria,None,Actinobacteria,0.708,8
WP_085551987,A0A1X7MWJ1,5462,Hemolysin-type calcium-binding repeat-containing protein,PropLec7B_PVL,6703,1363,Azospirillum,NZ_FXBR01000001.1,54805,58896,A0A1X7MWJ1,Azospirillum lipoferum,Bacteria,None,Proteobacteria,0.363,6
WP_085557954,A0A1X7QDB7,5464,Hemolysin-type calcium-binding repeat-containing protein,PropLec7B_PVL,6704,1519,Azospirillum,NZ_FXBR01000007.1,476898,481457,A0A1X7QDB7,Azospirillum lipoferum,Bacteria,None,Proteobacteria,0.358,6
,A0A1X7UD33,3365,Uncharacterized protein,PropLec6B_tectonin,6707,650,Amphimedon,,0,0,A0A1X7UD33,Amphimedon queenslandica,Eukaryota,Metazoa,Porifera,0.309,3
WP_096475003,A0A1Y1BYR6,6666,Fucose-binding lectin protein,PropLec6A_RSL_AAL,6716,87,Burkholderia,NZ_AP018112.1,2451996,2452259,Q0B4G1,Burkholderia stabilis,Bacteria,None,Proteobacteria,0.447,2
GAQ82891,A0A1Y1I142,16500,Uncharacterized protein,PropLec6B_tectonin,6717,290,Klebsormidium,DF237077.1,56008,58958,A0A1Y1I142,Klebsormidium nitens,Eukaryota,Viridiplantae,Streptophyta,0.256,6
GAQ86707,A0A1Y1IDB7,16501,Uncharacterized protein,PropLec6B_tectonin,6718,305,Klebsormidium,DF237255.1,49013,53543,A0A1Y1IDB7,Klebsormidium nitens,Eukaryota,Viridiplantae,Streptophyta,0.271,4
